Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1941,16,228,29.0,4.49,3.89,2488,0.56,0.44,0.07,0.07,0.09,8.92,9.06,4.49,3.86,0.53,3.57,,3.55,0.12,0.01,0.19,38.78,101,1.416,.280,9.1,0.5,3.6,3.6,0.99,1.12
1940,16,224,29.0,4.68,4.11,2472,0.56,0.44,0.06,0.06,0.09,8.92,9.31,4.68,4.08,0.64,3.34,,3.66,0.14,0.02,0.18,38.80,100,1.418,.284,9.4,0.6,3.4,3.7,1.10,1.15
1939,16,229,29.0,4.82,4.27,2462,0.58,0.42,0.05,0.05,0.10,8.87,9.49,4.82,4.20,0.59,3.44,,3.46,0.14,0.02,0.18,38.96,100,1.459,.290,9.6,0.6,3.5,3.5,1.00,1.15
1938,16,214,28.9,4.89,4.28,2446,0.55,0.45,0.05,0.05,0.09,8.85,9.52,4.89,4.21,0.60,3.53,,3.41,0.14,0.02,0.17,38.98,100,1.474,.290,9.7,0.6,3.6,3.5,0.97,1.13
1937,16,208,29.0,4.87,4.27,2478,0.55,0.45,0.06,0.06,0.09,8.84,9.59,4.87,4.19,0.58,3.41,,3.63,0.13,0.02,0.16,38.79,100,1.470,.296,9.8,0.6,3.5,3.7,1.07,1.13
1936,16,207,28.7,5.20,4.52,2476,0.57,0.43,0.05,0.05,0.09,8.90,10.04,5.20,4.47,0.55,3.40,,3.33,0.17,0.02,0.22,39.52,100,1.509,.301,10.1,0.6,3.4,3.4,0.98,1.18
1935,16,201,28.5,4.90,4.24,2456,0.56,0.44,0.06,0.06,0.08,8.91,9.80,4.90,4.19,0.54,3.19,,3.26,0.16,0.02,0.17,39.16,101,1.457,.295,9.9,0.5,3.2,3.3,1.02,1.17
1934,16,202,28.8,4.90,4.28,2446,0.57,0.43,0.06,0.06,0.10,8.88,9.80,4.90,4.22,0.55,3.21,,3.45,0.14,0.02,0.17,39.05,100,1.466,.297,9.9,0.6,3.3,3.5,1.07,1.14
1933,16,184,29.4,4.48,3.81,2452,0.55,0.45,0.07,0.07,0.09,8.93,9.37,4.48,3.78,0.44,3.00,,3.04,0.14,0.01,0.16,38.62,100,1.384,.285,9.4,0.4,3.0,3.1,1.01,1.11
1932,16,196,29.1,4.91,4.18,2466,0.54,0.46,0.05,0.05,0.08,8.97,9.78,4.91,4.16,0.55,3.06,,3.19,0.15,0.02,0.15,39.17,101,1.430,.292,9.8,0.6,3.1,3.2,1.04,1.19
1931,16,189,29.2,4.81,4.12,2472,0.52,0.48,0.05,0.05,0.08,8.90,9.72,4.81,4.07,0.43,3.10,,3.20,0.15,0.02,0.14,38.94,100,1.442,.296,9.8,0.4,3.1,3.2,1.03,1.21
1930,16,199,28.9,5.55,4.81,2468,0.56,0.44,0.04,0.04,0.09,8.86,10.37,5.55,4.73,0.63,3.10,,3.21,0.16,0.01,0.15,39.39,100,1.521,.307,10.5,0.6,3.1,3.3,1.04,1.23
